PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
015i1,r2q1rk1/pp1bnpp1/2n1p3/2b1P1NQ/3p4/P7/1P3PPP/RNB2RK1 b - - 3 13,e7g6 h5h7,825,79,77,118,mate mateIn1 oneMove opening,https://lichess.org/Gk8K5tC9/black#25,French_Defense French_Defense_Advance_Variation
016BD,r1bqk2r/pp4pp/3b1B2/3pNn2/4p3/2N5/PPP2PPP/R2QKB1R b KQkq - 0 11,g7f6 d1h5 e8f8 h5f7,1710,75,79,172,mate mateIn2 opening short,https://lichess.org/qzKzWmta/black#21,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation
016I9,8/1b2R1kp/p7/3p2P1/PP1n2KP/2r5/3N4/8 b - - 5 46,g7g6 h4h5,1244,76,98,1023,endgame mate mateIn1 oneMove,https://lichess.org/soXqrI59/black#91,
016aw,6k1/4pp2/3p2p1/8/1P1QP2p/5Pqb/6r1/2R2BK1 w - - 0 38,f1g2 g3g2,730,92,91,152,endgame mate mateIn1 oneMove,https://lichess.org/wGrXfzA5#74,
016fz,8/8/3R4/1P3k2/2Bb2pK/8/7r/8 w - - 1 63,h4g3 d4e5,1675,81,89,766,endgame mate mateIn1 oneMove,https://lichess.org/jAbGFT6B#124,
016ow,1B3k2/5P2/5K2/7p/P4P1P/8/2p5/8 b - - 0 47,c2c1q b8d6,583,88,95,194,endgame mate mateIn1 oneMove,https://lichess.org/QZ9ccrd5/black#93,
016rF,r4qk1/pppb2p1/1bnp1R2/6N1/8/2NQ2B1/PP4PP/7K b - - 0 19,f8f6 d3h7 g8f8 h7h8 f8e7 c3d5,1763,74,94,4048,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/IoUBUxjr/black#37,Kings_Gambit_Declined Kings_Gambit_Declined_Queens_Knight_Defense
01749,2r3k1/5ppp/4p3/3n4/2QB4/1r4P1/5PKP/R2q4 b - - 1 32,c8c4 a1a8 b3b8 a8b8 c4c8 b8c8,615,92,93,918,endgame long mate mateIn3,https://lichess.org/OVh3Rgxm/black#63,
0184P,1r6/3R2p1/p5kp/1p2p2N/2Pn2K1/1P6/P5PP/8 b - - 2 30,b5c4 d7g7,1145,75,98,2103,endgame mate mateIn1 oneMove,https://lichess.org/wgWQ1iov/black#59,
018Bb,2kr3r/4pBb1/Q2pNn1p/8/p3qP1n/P3B3/1PP2P2/R3K3 b Q - 5 25,c8b8 a6a7 b8c8 a7c7,1413,76,86,205,mate mateIn2 middlegame queensideAttack short,https://lichess.org/yCSRRV6O/black#49,
018Bi,8/3k1r2/p7/1p3p1P/3Q1PPB/P1n4K/1b1p4/3q4 b - - 10 55,d7e8 d4d8,1081,77,76,330,endgame mate mateIn1 oneMove,https://lichess.org/OqMLoW8f/black#109,
018KA,4r1k1/1b1r1pPp/4p3/p5B1/5Q2/1P6/PbR3qP/6RK w - - 0 36,g1g2 d7d1 f4f1 d1f1,1174,118,87,20,mate mateIn2 middlegame pin short,https://lichess.org/qeWQ34cz#70,
018b0,r4r1k/1ppq2p1/1pnp1nQp/4pN2/4P3/3PB2P/PPP2RP1/R5K1 b - - 11 18,c6e7 g6g7,1173,93,73,50,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/oD9GfZhW/black#35,Bishops_Opening Bishops_Opening_Vienna_Hybrid
0198M,6rk/p1N2R1p/1n1Q4/2p1p3/8/7P/PPP3P1/4q2K w - - 1 33,h1h2 e1g3 h2g1 g3g2,980,75,100,1038,endgame mate mateIn2 short,https://lichess.org/ldvaocEE#64,
019DY,rnb1k1nB/ppp2p1p/8/8/7q/1P3pb1/P1PPP2P/RN1QKB1R w KQq - 0 9,h2g3 h4g3,1084,183,-67,7,mate mateIn1 oneMove opening,https://lichess.org/M6zRIUyg#16,
019VE,r1r3k1/1b3ppp/4p3/p2q4/1p1n4/3P1N1P/2PN1PP1/R2QR1K1 w - - 2 20,f3d4 d5g2,1063,161,100,19,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/miZAAtjq#38,
019gx,1r6/6R1/3p4/1P1Rp3/K1r1P3/2k2P2/8/8 w - - 1 45,a4a5 c4a4 a5a4 b8a8 g7a7 a8a7,2114,83,84,219,attraction endgame long mate mateIn3 rookEndgame sacrifice,https://lichess.org/pCBDwbPH#88,
019tx,4Qb1r/pp2R1k1/2pq1p2/8/3p4/1BP4P/PP1B2P1/6K1 b - - 0 32,f8e7 e8f7,1144,76,93,667,endgame mate mateIn1 oneMove,https://lichess.org/z4oFAOJD/black#63,
019yp,5r1k/p1q3pp/2p1Q1p1/8/8/5RN1/P1P3P1/6K1 b - - 1 26,f8f3 e6e8 f3f8 e8f8,614,102,76,104,endgame mate mateIn2 short,https://lichess.org/gLC1NwZX/black#51,
01B3g,r2q1rk1/pp1b1pb1/2n1p3/3n2NP/3P4/3QB3/PP2BPP1/2KR3R b - - 2 18,d5e3 d3h7,643,83,78,149,mate mateIn1 middlegame oneMove,https://lichess.org/9lxz1ugK/black#35,Sicilian_Defense Sicilian_Defense_Alapin_Variation
01B5q,r4rk1/1pp1np1p/p4Qp1/3P3P/P2Nq3/8/1B4R1/5B1K b - - 0 36,e7d5 f6g7 g8g7 d4f5 g7g8 f5h6,2172,75,93,6892,attraction doubleCheck long mate mateIn3 middlegame pin sacrifice,https://lichess.org/seEUcuvw/black#71,
01BI2,3R4/2p1k3/4p1p1/1p2P2p/1P6/8/4rr2/3R2K1 b - - 7 41,e7f7 d1d7,1079,80,92,121,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/FFtkhBNX/black#81,
01BKZ,2kr1bnr/ppp2ppp/8/8/8/q4N2/bPPBPPPP/2KR1B1R w - - 0 11,b2a3 f8a3,719,76,95,884,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/MLJUlMpw#20,Englund_Gambit Englund_Gambit_Other_variations
01BNN,1r4k1/3R1pbp/1p2p1p1/p1q5/P1P5/1B3Q2/5PPP/6K1 b - - 0 24,c5a3 f3f7 g8h8 f7g7,955,85,87,36,endgame mate mateIn2 short,https://lichess.org/8LHFibnx/black#47,
01BeL,8/5Q1R/pr5p/6p1/5p1k/q6P/2P2PPK/8 w - - 6 39,f7g7 a3g3 f2g3 f4g3 h2g1 b6b1,1637,76,96,2031,endgame long mate mateIn3 sacrifice,https://lichess.org/jye6zZRK#76,
01BjV,1r6/8/3bkN2/2p5/P2pp3/3P3P/R4PP1/6K1 w - - 2 47,f6e4 b8b1,644,85,96,734,endgame mate mateIn1 oneMove,https://lichess.org/0vctqXhL#92,
01CAb,8/p2Q1p2/1p3p1p/2b1k3/5P2/8/PPBr1q1P/R6K b - - 0 31,e5f4 d7f5 f4e3 f5e4,1523,75,83,729,endgame mate mateIn2 short,https://lichess.org/SyXXN7Qn/black#61,
01CQ7,1n3r1k/p5pp/8/7Q/4P3/2NP4/PPPB2qP/R2KRr2 w - - 3 21,d2e3 f1e1 d1e1 f8f1,1510,74,92,1271,attraction mate mateIn2 middlegame short,https://lichess.org/yu8CZvqe#40,
01DM2,6k1/5p2/1p2pn2/3pN3/1P1P1Pp1/P3r1Pp/2q1RP1P/6K1 w - - 0 32,e2c2 e3e1,400,106,94,461,endgame mate mateIn1 oneMove,https://lichess.org/eW07IKXH#62,
01DhL,1r4k1/2q3p1/p3R2p/b2p4/1rpP3N/6P1/1PQ1RPP1/6K1 b - - 0 31,b4b2 e6e8 b8e8 e2e8 g8f7 c2g6,1516,75,99,2644,long mate mateIn3 middlegame,https://lichess.org/pT896h9l/black#61,
01Dq7,2k5/ppp3q1/4p1r1/4P3/3P4/1PP2RPp/P3Q1nP/5K2 b - - 2 30,g7h7 f3f8 c8d7 e2b5 c7c6 b5b7,985,77,100,534,endgame long mate mateIn3 queensideAttack,https://lichess.org/4SXAZbeY/black#59,
01Dt6,3r2k1/1bqPn1pp/p3pp2/1pp3PQ/8/8/PPP4P/1K1R1R2 b - - 1 28,f6f5 h5e8 d8e8 d7e8q,1211,78,90,1858,advancedPawn kingsideAttack mate mateIn2 middlegame promotion short,https://lichess.org/rCyfbn1Z/black#55,
01Dtr,b4rk1/2pn2p1/1p4q1/6N1/7Q/4B3/1P3PPP/3R2K1 w - - 6 27,d1d7 g6b1 e3c1 b1c1 d7d1 c1d1,770,93,94,1029,long mate mateIn3 middlegame,https://lichess.org/ZvCTnCI7#52,
01EFz,2r2rk1/p2bbpp1/2n1pn1p/q3P1N1/3P1B1P/2PQ4/P2N1PP1/R3K2R b KQ - 0 16,f6d5 d3h7,771,82,79,73,mate mateIn1 middlegame oneMove,https://lichess.org/nIzUwces/black#31,Queens_Pawn_Game Queens_Pawn_Game_London_System
01EKU,rn1q2k1/p1pp2pB/1p2pb2/6NQ/3P4/2P5/PP3P2/R3K2b b Q - 5 20,g8f8 h5f7,933,76,91,369,mate mateIn1 middlegame oneMove,https://lichess.org/zhb0rnDg/black#39,
01EMd,r6k/4q1pp/1n1pBp2/2p1nP2/1p2R2Q/1P5P/r5P1/2B1R1K1 b - - 6 31,b6d7 h4h7 h8h7 e4h4,1459,75,93,6982,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/cQMrswkE/black#61,
01EUl,r2qk2r/ppp2pp1/2p2n2/7p/3bP1b1/2N3Q1/PPP2PPP/R1B1KB1R w KQkq - 0 9,h2h3 d4c3 g3c3 d8d1,1319,77,96,27062,clearance mate mateIn2 opening short,https://lichess.org/eR5rGPfR#16,Russian_Game Russian_Game_Stafford_Gambit
01EfV,rn2k2r/ppq2p2/2p1pp2/8/2BN2p1/3P4/PPPB1P2/R2Q1RbK w kq - 4 16,h1g1 c7h2,630,82,100,680,mate mateIn1 middlegame oneMove,https://lichess.org/YkITVZm0#30,Scandinavian_Defense Scandinavian_Defense_Main_Line
01Egl,2k5/r5p1/2K2p1p/8/7P/p7/8/4R3 b - - 7 61,a3a2 e1e8,688,93,73,175,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/HRglcTgk/black#121,
01Esj,2r5/p2bk1Q1/1p2p3/3nN3/3P4/8/Pq3PPP/4R1K1 b - - 0 25,e7d6 g7d7,1316,77,71,119,mate mateIn1 middlegame oneMove,https://lichess.org/TYiEDFul/black#49,
01EuL,3Q4/5pk1/5P2/4K2p/P2P4/2q1p3/5r2/8 b - - 0 52,g7g6 d8g8 g6h6 g8g7,923,90,93,167,endgame mate mateIn2 short,https://lichess.org/RG5h38pt/black#103,
01F7L,r3kb1r/ppp2ppp/8/2p1Pb2/3Pn2q/3B1P2/PPP3PP/RNBQK2R w KQkq - 1 9,e1e2 h4f2,928,75,86,238,mate mateIn1 oneMove opening,https://lichess.org/bHxdc27g#16,Russian_Game Russian_Game_Stafford_Gambit
01FmQ,3r2k1/2B3pp/1Q2Pp2/2b5/P3n3/5N2/2q2PPP/5RK1 w - - 4 32,e6e7 c2f2 f1f2 d8d1 f3e1 d1e1,1886,74,96,5977,long mate mateIn3 middlegame pin sacrifice,https://lichess.org/e8I8ds3w#62,
01GBu,5r1k/3p2bp/p4pp1/qp1br3/4P3/1Q4B1/PP2RPPP/4R1K1 w - - 0 23,e4d5 a5e1 e2e1 e5e1,1265,76,93,4597,backRankMate mate mateIn2 middlegame short xRayAttack,https://lichess.org/t1gBJrWV#44,
01GC2,3b4/pp2kprp/8/1Bp5/4R3/1P6/P4PPP/1K6 b - - 0 22,e7f8 e4e8,400,108,91,768,endgame mate mateIn1 oneMove,https://lichess.org/6c75Zk3T/black#43,
01Gjl,rn2k2N/p1pn3p/8/3b2B1/3p4/N7/PP4PP/4R1K1 b - - 3 21,e8f8 g5h6 f8g8 e1e8 d7f8 e8f8,1774,74,95,5187,exposedKing long mate mateIn3 middlegame,https://lichess.org/ATVeox2b/black#41,
01GkW,5b1k/pQ6/5BBp/5P2/3q2p1/7P/6PK/8 b - - 0 36,d4f6 b7h7,946,113,100,17,endgame mate mateIn1 oneMove,https://lichess.org/i07nEgsG/black#71,
01HBm,r4rk1/pb2bpp1/4pn1p/2pqN3/3p3B/3P3P/PPP1NPP1/1R1Q1RK1 w - - 2 15,h4g3 d5g2,543,139,33,20,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/uptCqzGJ#28,Caro-Kann_Defense Caro-Kann_Defense_Other_variations
01HI3,Q3R3/1R3ppk/7p/8/2p5/2P5/1Pr4r/4K3 w - - 3 54,b7f7 c2c1,1186,76,93,998,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/cBCqtthS#106,
01HV2,3rk2r/p3nppp/1pp5/q7/1B2QRP1/4P2P/P7/4KR2 b k - 11 30,a5d5 e4e7,928,78,84,190,mate mateIn1 middlegame oneMove,https://lichess.org/wYnJuODv/black#59,
01Hgu,2k5/p1p5/r6q/3b4/8/3P4/PPP2P1P/R1B2RK1 w - - 0 31,c1h6 a6g6 h6g5 g6g5,1115,76,95,5861,endgame fork mate mateIn2 short,https://lichess.org/9laF2Tml#60,
01HoZ,r5rk/1p3p1p/1b1p1p2/pP1P3q/P1P1Pn2/3B1NK1/5P2/R2Q3R w - - 8 28,g3f4 h5g4,1782,85,83,773,mate mateIn1 middlegame oneMove,https://lichess.org/VOay9YDM#54,
01IA8,r4r1k/pp2QRpp/2p5/8/2n5/8/Pq4PP/3R3K b - - 0 28,f8f7 d1d8 a8d8 e7d8 f7f8 d8f8,1336,111,81,40,endgame long mate mateIn3,https://lichess.org/0sYYsIVJ/black#55,
01IFU,r1b2rk1/pp3pp1/3b3p/3Bn3/P2N1q2/2P4P/1P3PP1/RN1Q1RK1 w - - 1 17,d4e2 e5f3 g2f3 f4h2,1086,75,98,1126,kingsideAttack mate mateIn2 opening sacrifice short,https://lichess.org/0kHqIPwO#32,Philidor_Defense Philidor_Defense_Other_variations
01IFr,6Rk/pp6/1bpN3p/4P1p1/7q/3Q3P/PP4P1/7K b - - 0 28,h8g8 d3g6 g8h8 d6f7,1092,75,97,1660,endgame mate mateIn2 short,https://lichess.org/3Rc0bO6Y/black#55,
01IW8,r5r1/pb2kp1Q/2p5/q1b1N2P/1p2P3/8/PnP1N3/1K1R4 b - - 0 24,b2d1 h7f7 e7d6 e5c4,1780,76,86,335,mate mateIn2 middlegame short,https://lichess.org/JPaYHpzn/black#47,
01Ie5,8/3R3p/6pk/5p2/5PP1/1r5P/r2B1K2/8 b - - 0 46,b3b2 g4g5 h6h5 d7h7,953,79,95,2115,deflection endgame mate mateIn2 short,https://lichess.org/MSON3n5v/black#91,
01InH,4k1nr/r1pp1ppq/1p2p3/2b5/2P1PP2/pPNP1nP1/P2B1N1P/R2Q1RKB w k - 3 21,d1f3 h7h2,836,81,98,2221,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/mT8UmU6y#40,
01Inf,r2q3k/pp2R1pp/3p4/Q7/8/8/Pb3PPP/4R1K1 b - - 0 29,d8a5 e7e8 a8e8 e1e8,542,86,77,124,backRankMate endgame mate mateIn2 short,https://lichess.org/CkfSk11W/black#57,
01J3q,r3r1k1/ppq1ppb1/2p3nN/2Pp3p/3Pn2N/1P2P2P/PB3QP1/R4RK1 b - - 9 23,g7h6 f2f7 g8h8 h4g6,1273,75,98,18429,fork mate mateIn2 middlegame short,https://lichess.org/CUMxzqX2/black#45,
01J5O,r4r1k/1pp1NppR/3p4/p3n3/4P3/1PPP2P1/1P1K2P1/3R4 b - - 0 22,h8h7 d1h1,547,97,92,2002,anastasiaMate endgame mate mateIn1 oneMove,https://lichess.org/2DUSUcNf/black#43,
01JJc,4k3/4P3/2p1KP2/2N5/7r/8/p7/8 b - - 4 42,h4h6 c5e4 c6c5 e4d6,2126,89,57,86,endgame mate mateIn2 quietMove short,https://lichess.org/beTqPTep/black#83,
01JaO,5r1k/pp4p1/b1p1Q2p/3p4/PP1P2P1/6bP/4NPBq/R3RK2 w - - 1 29,f2f3 f8f3 g2f3 h2f2,1704,78,87,69,mate mateIn2 middlegame sacrifice short,https://lichess.org/eYK1wfLO#56,
01Jrn,5rk1/3q1r1p/1p1bQ1p1/8/1P4R1/7P/3N2P1/5R1K w - - 5 34,e6d7 f7f1 d2f1 f8f1,732,106,90,807,mate mateIn2 middlegame short,https://lichess.org/eRVQUz9d#66,
01Jy6,r2r2k1/p3qppp/1pb1p3/2p1P1N1/5n2/2P2N2/PPQ2PPP/R4RK1 b - - 7 16,h7h6 c2h7 g8f8 h7h8,845,103,67,22,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/r6Io6rlI/black#31,Sicilian_Defense Sicilian_Defense_Alapin_Variation
01KQY,2r2k2/1R3p1p/6pP/P2p4/1p6/1P2RPP1/3r4/1K6 b - - 2 39,c8c2 b7b8 c2c8 b8c8,808,78,98,429,endgame mate mateIn2 rookEndgame short,https://lichess.org/O7OlrfG1/black#77,
01KSz,2r3k1/1p3ppp/p3p3/3pP2Q/2r2b2/P1Pq3P/1P2R2B/5R1K b - - 1 29,f4h2 h5f7 g8h8 f7f8 c8f8 f1f8,1426,93,73,307,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/9F9G6yiK/black#57,
01KVi,2r3q1/1p6/p2p3R/3PpkP1/4np2/3B4/PP6/1K4R1 b - - 5 31,g8d5 h6f6,1268,160,81,58,endgame mate mateIn1 oneMove pin,https://lichess.org/3alLBNAk/black#61,
01Kn5,8/8/8/1R3p2/1P6/6k1/r6p/7K w - - 2 50,b5f5 a2a1 f5f1 a1f1,445,98,78,189,endgame mate mateIn2 rookEndgame short,https://lichess.org/k647Qsyr#98,
01Kz0,4rr2/RQ4pk/2p2q1p/8/8/1P1P4/2P2PPP/5RK1 w - - 3 29,a7a6 f6f2 f1f2 e8e1 f2f1 e1f1,1195,75,93,1920,endgame long mate mateIn3 sacrifice,https://lichess.org/Q262mNXq#56,
01L59,rnb2rk1/pp1p1ppp/4p3/4P3/3b1Pnq/2N5/PPPNB1PP/R1BQ1R1K w - - 2 12,g2g3 h4h2,1114,78,94,1287,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/5qG1QQrX#22,Mieses_Opening Mieses_Opening_Other_variations
01LA9,2r3k1/p4q2/4N1pQ/1p1nP3/3P4/8/5PP1/6KR b - - 0 32,f7e6 h6h8 g8f7 h1h7,1466,76,85,1315,endgame mate mateIn2 short,https://lichess.org/mFqNeSJb/black#63,
01LBw,r6r/ppp1kBp1/2np4/4p3/4P1p1/P2P3q/1PPN1P2/R2Q1RK1 w - - 0 17,d1g4 h3g4,679,101,91,302,hangingPiece kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/b4KcZaUU#32,Philidor_Defense Philidor_Defense_Other_variations
01LGs,4rr2/ppp2q1k/3p2p1/2bP4/4RPP1/1RBQ4/P6P/7K b - - 0 32,e8e4 d3h3 h7g8 h3h8,1413,74,88,1511,mate mateIn2 middlegame short,https://lichess.org/Z3tr3Uaf/black#63,
01LaG,6rk/R7/3p1q1p/3P2pQ/1P2P3/3P1p1P/P1r3PB/1R5K w - - 0 28,a7f7 f3g2 h1g1 f6d4 f7f2 d4f2,1622,75,94,927,advancedPawn kingsideAttack long mate mateIn3 middlegame,https://lichess.org/UtNFI4I6#54,
01LoE,r1b2k1r/pppp2pp/2n5/4q1N1/2Q1P3/8/P4PPP/R1B2RK1 b - - 2 15,h7h6 c4f7,987,85,81,79,mate mateIn1 middlegame oneMove,https://lichess.org/BmlNRrDy/black#29,Italian_Game Italian_Game_Evans_Gambit
01Lyl,3r1rk1/pp4b1/2p2p2/5P1p/6n1/2N2B2/PPP1Q1Pq/3RR1K1 w - - 2 26,g1f1 h2h1,938,80,88,549,mate mateIn1 middlegame oneMove,https://lichess.org/sZYNjKzl#50,
01M6C,4r1k1/1R4R1/2p5/p6K/P1P1r3/5p2/8/8 b - - 1 40,g8f8 b7f7,1130,78,89,1503,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/IYzZiARd/black#79,
01MCO,Q6k/7p/6p1/8/3b4/4q3/PP5B/2r2R1K b - - 3 32,h8g7 a8f8,1443,256,60,24,endgame master mate mateIn1 oneMove,https://lichess.org/HWBbx7PB/black#63,
01MOR,1k6/1p2R3/2p1B1r1/p6p/N4r2/8/PPP5/3R3K w - - 2 32,a4c5 f4h4 e6h3 h4h3,1271,76,86,399,endgame mate mateIn2 short,https://lichess.org/z28CI1fv#62,
01MPw,3r4/p1k3q1/1p2p2p/2p1n1p1/2P1N3/P2R2Q1/1P3PPP/6K1 w - - 1 29,d3e3 d8d1 e3e1 d1e1,614,96,62,152,backRankMate endgame mate mateIn2 short,https://lichess.org/XVfpxq4Y#56,
01N0w,2kr3r/1pp3Q1/p1p5/2b2p1P/q1P5/6BP/PP3P2/1K1RR3 w - - 1 26,g7f6 d8d1 e1d1 a4d1,954,82,95,176,mate mateIn2 middlegame queensideAttack short,https://lichess.org/uaGsJ7mX#50,
01N7F,6k1/Q7/6p1/2p4p/P6P/1P3qPK/2P5/8 w - - 1 46,a7c5 f3h1,1668,75,96,1857,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/NBOfEd8e#90,
01NPD,8/5p2/6pk/3PQp2/8/p3PP2/6PK/4q3 b - - 6 39,a3a2 e5h8 h6g5 f3f4 g5g4 h8h3,1332,75,96,2482,endgame long mate mateIn3 queenEndgame,https://lichess.org/Bjg4tsry/black#77,
01NfS,r3k2r/pp2bppp/2pQ4/2Bn4/6P1/3P4/PPP4P/1K2R1Nq b kq - 3 19,a8d8 e1e7 d5e7 d6e7,1289,74,97,8887,mate mateIn2 middlegame short,https://lichess.org/ENLFjMzb/black#37,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
01OFy,r4rk1/pppbq1pp/1b3p2/3Bp2R/3P4/2P3P1/PP3P1P/R1BQ2K1 b - - 0 16,g8h8 h5h7 h8h7 d1h5,1609,238,33,4,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/JpoGe8OK/black#31,French_Defense French_Defense_Kings_Indian_Attack
01OgB,r3r1k1/1ppQ1pp1/1p5p/1P6/3P4/2P5/3B1PPP/5qK1 w - - 0 22,g1f1 a8a1 d2c1 a1c1,747,78,100,695,endgame mate mateIn2 short,https://lichess.org/3ASaJgPf#42,
01PIs,r7/6kp/5rp1/K2Bn3/4P3/2P3b1/PP1B2P1/R6R w - - 1 33,a5b4 f6b6 b4c5 g3f2 d2e3 f2e3,1929,74,92,326,long mate mateIn3 middlegame,https://lichess.org/cGPyOmEJ#64,
01PQE,7R/kb6/2pp1p2/4qP2/3pPN2/1QbP4/B1P5/2K5 w - - 1 38,h8h7 e5f4 c1b1 f4f1,1115,154,50,33,hangingPiece mate mateIn2 middlegame short,https://lichess.org/ZqbSx2nz#74,
01Ptp,r1b3k1/1pq3b1/p2N2Q1/2PB4/1P1p4/3Pp3/P4rpP/R5KR b - - 1 30,g8f8 g6e8,1466,84,84,657,mate mateIn1 middlegame oneMove,https://lichess.org/nGsChwtG/black#59,
01QLj,5rk1/p4ppp/7q/4p3/1PP2b2/P4Q2/3r2PP/2B1RR1K w - - 3 23,c1d2 h6h2,871,85,92,829,mate mateIn1 middlegame oneMove,https://lichess.org/DmZEfOWZ#44,
01QTc,R1b3k1/4pp1p/3p2p1/2pP4/2P1PP2/2Q2B1P/5qPK/1r6 b - - 9 27,h7h5 a8c8 g8h7 c3h8,805,77,100,245,endgame hangingPiece mate mateIn2 short,https://lichess.org/YTB6JMoe/black#53,
01Qdr,6k1/pp4p1/7p/1PPp4/P2b2rq/5rN1/6PP/3QR2K w - - 0 30,d1f3 h4h2 h1h2 g4h4,1609,74,95,2823,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/HyDaLl1q#58,
01QgT,8/8/p1pk1R2/1pp1rp2/8/1P1K4/P1P5/8 b - - 1 36,d6d5 c2c4 b5c4 b3c4,888,77,97,285,endgame mate mateIn2 rookEndgame short,https://lichess.org/H2u6Pf0I/black#71,
01Qwv,5rk1/p3Q1pp/2p5/3q4/4p1B1/6PP/4P1K1/8 b - - 3 31,d5d1 g4e6 g8h8 e7f8,962,86,94,1550,deflection endgame mate mateIn2 short,https://lichess.org/hT9Udn33/black#61,
01RPQ,1Q6/2Pk4/p3pp1p/3q2p1/1p6/1P2P1P1/5P1P/6K1 b - - 2 42,d5c6 b8d8,1021,85,83,100,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/GAWpyeOU/black#83,
01S1N,6k1/5ppp/1P2p3/3p4/3n4/6P1/1r4bP/R5K1 b - - 0 33,g2e4 a1a8,625,89,73,133,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/GfQ7pZ29/black#65,
01S2P,r4rk1/5qpp/p1p1p3/3pB3/6Q1/8/PPP2PPP/R3R1K1 w - - 4 18,e1e3 f7f2 g1h1 f2f1 a1f1 f8f1,923,86,94,1789,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/PpvbkBkX#34,Vienna_Game Vienna_Game_Other_variations
01Sr1,1r4k1/6pp/4p3/QBR2p2/3q4/B3nP1P/P5P1/6K1 w - - 0 35,a5a7 e3g4 g1h1 d4d1 b5f1 d1f1,1737,74,96,2813,discoveredAttack long mate mateIn3 middlegame,https://lichess.org/mKXjReAm#68,
01StK,1r4k1/5pp1/2Bp3p/q2P4/8/1Pb5/P2Q2PP/1K1R4 w - - 0 27,d2d3 b8b3 a2b3 a5a1 b1c2 a1b2,1326,79,78,349,endgame long mate mateIn3 sacrifice,https://lichess.org/URJoRWKJ#52,
01TLc,r4r1k/1p2q2p/1Qp5/p4p2/2b1p3/P1P1P2P/5P1N/1K1R2R1 b - - 0 27,e7a3 b6d4 f8f6 d4f6,1474,84,85,51,fork mate mateIn2 middlegame short,https://lichess.org/kWdDwITU/black#53,
01TXv,Q1bk3r/2p2pNp/8/3PP3/2p3q1/B1P5/6BP/7K w - - 3 33,a8c6 g4d1 g2f1 d1f1,787,85,80,323,mate mateIn2 middlegame short,https://lichess.org/WeILnMLY#64,
01Tea,r6r/N2k1pQ1/4p2p/1Nbp4/P3n3/8/2P3PP/R3R1qK w - - 2 26,e1g1 e4f2,874,88,94,286,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/ueweliE1#50,
01TgD,8/q4k1r/p2pRbpp/5n2/1PP2P2/P2Q1N1P/6PK/4R3 w - - 12 30,g2g4 a7f2 h2h1 f5g3,1148,79,100,46,mate mateIn2 middlegame short,https://lichess.org/LW4akFc5#58,
01TmZ,r1b2rk1/1p2bppp/pqnp4/3Np3/2B1PP2/PN6/1PP2nPP/R1BQ1R1K w - - 5 13,h1g1 f2h3 g1h1 b6g1 f1g1 h3f2,1251,81,87,3738,doubleCheck kingsideAttack long mate mateIn3 opening sacrifice smotheredMate,https://lichess.org/RIwXCRjL#24,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
01UQI,r3kb1r/1p2pppp/pqnp4/3P4/B3n1b1/5N2/PP1B1PPP/RN1QK2R w KQkq - 0 11,d5c6 b6f2,1389,94,55,62,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/Qnh7qhgq#20,Sicilian_Defense Sicilian_Defense_Modern_Variations
01Uff,8/5p2/2rk4/3b4/7P/3Q2P1/5P2/6K1 w - - 3 48,d3h7 c6c1 g1h2 c1h1,617,97,77,399,endgame mate mateIn2 short,https://lichess.org/FkmFi9a3#94,
01UiU,q4rk1/n2P1ppp/p7/6b1/Pp1B2P1/1Pp1RN1n/2Q2P2/R4K2 w - - 0 30,f3g5 a8h1 f1e2 h3f4,1706,75,90,316,mate mateIn2 middlegame short,https://lichess.org/P9J5A2x6#58,
